"","text"
"1","trump looking uselection results biden won milliom votes got trumps even … httpstcosfrzhqduhe"
"2","obamas terrorist program pop support terrorist militias iran yemen syria iraq lebanon biden… httpstcofreeygr"
"3","rt ocoglobal china climate coronavirus key tasks biden administration commercial director garethhagan exp…"
"4"," new study cardiffunis crimesecuritycu explores chinese links spread disinformation … httpstcosyjlanjqw"
"5","rt bsindia zero tolerance policy effective april june adults illegally entered us including th…"
"6"," zero tolerance policy effective april june adults illegally entered us … httpstcocniuskiczi"
"7","rt aishpaliwal uselection joe biden races ahead donald trump georgia"
"8","rt baymads history us presidents ufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffeufufuffc usele…"
"9","rt longjohn joebiden zimbabwen ufufufufuf uselection uspresidentialelections uselectionresults corruptjoebiden joebiden…"
"10","rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…"
"11"," know love jesus christ laid life us niv bible john uselection… httpstcopdsad"
"12"," scary stuff twitterbots spreading fakenews uselection httpstcoyewsmdkbwk"
"13","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"14","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"15","rt masroorabbasi heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz nawazshari…"
"16","heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz… httpstcofgxjxzy"
"17","rt wbgsexcellence talent students shines read great article sixth former nathan presidential e…"
"18","uselection biden ’s quite sad watch superpower country becoming something jerry springer show"
"19","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"20","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"21","rt neelumnawab maine’s susan collins reelected making almost impossible democrats win senate democrats uselecti…"
"22","rt neelumnawab president trump’s lead pennsylvania become shaky points less points biden wins penn…"
"23","facebook let researchers access election ad data advertising uselection httpstcovpycpxnie"
"24","trumpadministration former secretary state mikepompeo joins conservative hudsoninstitute dc pakustv… httpstcoiiojfwmsh"
"25","rt thaguru still greatest proposal video ever watched internet icon valrma fajr borat uselection httpstco…"
"26","china climate coronavirus key tasks biden administration commercial director… httpstcoqaiqver"
"27","rt twistbyformatio kings collections white howlite spun gold price sendadm today chat call via whatsapp …"
"28","dear twittersupport please look tweet responses promoting false information … httpstcowuitoxrul"
"29","rt wionews gravitas watch former white house stenographer mike mccormick speak wions palkisu uselection tonight …"
"30"," justiceoig announced investigation whether prior members doj attempted alter result… httpstcolzpfytpd"
"31","nytimes someone put right can trump impeached longer president trumpslastday trump uselection"
"32","httpstcoiydyjglep nice cover capitolhill policechief gr trap set protrumpers fell ri … httpstcouzycjhvnnt"
"33","rt chrisburke go eleven dunkin donuts unless slight indian accent joking joe biden usel…"
"34"," nuclear football important twitter handle uf potus uselection"
"35","rt ixi always uselection trump climate climatecrisis climateemergency latter still trending us…"
"36"," always uselection trump climate climatecrisis climateemergency latter still tre… httpstcooxvyuvxv"
"37","comment year ufufufuf bidenharris trump uselection httpstcoaoetrzqtx"
"38","anyone figure connection pillow uspresidency following … httpstcocrvlmdm"
"39"," talent students shines read great article sixth former nathan presidenti… httpstcouggpecgzv"
