"","text.X","text.text","emotion","polarity"
"1",1,"trump looking uselection results biden won milliom votes got trumps even … httpstcosfrzhqduhe","unknown","positive"
"2",2,"obamas terrorist program pop support terrorist militias iran yemen syria iraq lebanon biden… httpstcofreeygr","unknown","positive"
"3",3,"rt ocoglobal china climate coronavirus key tasks biden administration commercial director garethhagan exp…","unknown","positive"
"4",4," new study cardiffunis crimesecuritycu explores chinese links spread disinformation … httpstcosyjlanjqw","unknown","positive"
"5",5,"rt bsindia zero tolerance policy effective april june adults illegally entered us including th…","unknown","neutral"
"6",6," zero tolerance policy effective april june adults illegally entered us … httpstcocniuskiczi","unknown","neutral"
"7",7,"rt aishpaliwal uselection joe biden races ahead donald trump georgia","unknown","positive"
"8",8,"rt baymads history us presidents ufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffeufufuffc usele…","unknown","positive"
"9",9,"rt longjohn joebiden zimbabwen ufufufufuf uselection uspresidentialelections uselectionresults corruptjoebiden joebiden…","unknown","positive"
"10",10,"rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…","joy","positive"
"11",11," know love jesus christ laid life us niv bible john uselection… httpstcopdsad","joy","positive"
"12",12," scary stuff twitterbots spreading fakenews uselection httpstcoyewsmdkbwk","fear","negative"
"13",13,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"14",14,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"15",15,"rt masroorabbasi heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz nawazshari…","joy","negative"
"16",16,"heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz… httpstcofgxjxzy","joy","negative"
"17",17,"rt wbgsexcellence talent students shines read great article sixth former nathan presidential e…","joy","positive"
"18",18,"uselection biden ’s quite sad watch superpower country becoming something jerry springer show","sadness","negative"
"19",19,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"20",20,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"21",21,"rt neelumnawab maine’s susan collins reelected making almost impossible democrats win senate democrats uselecti…","unknown","negative"
"22",22,"rt neelumnawab president trump’s lead pennsylvania become shaky points less points biden wins penn…","unknown","negative"
"23",23,"facebook let researchers access election ad data advertising uselection httpstcovpycpxnie","unknown","negative"
"24",24,"trumpadministration former secretary state mikepompeo joins conservative hudsoninstitute dc pakustv… httpstcoiiojfwmsh","unknown","positive"
"25",25,"rt thaguru still greatest proposal video ever watched internet icon valrma fajr borat uselection httpstco…","unknown","positive"
"26",26,"china climate coronavirus key tasks biden administration commercial director… httpstcoqaiqver","unknown","positive"
"27",27,"rt twistbyformatio kings collections white howlite spun gold price sendadm today chat call via whatsapp …","unknown","neutral"
"28",28,"dear twittersupport please look tweet responses promoting false information … httpstcowuitoxrul","joy","positive"
"29",29,"rt wionews gravitas watch former white house stenographer mike mccormick speak wions palkisu uselection tonight …","unknown","negative"
"30",30," justiceoig announced investigation whether prior members doj attempted alter result… httpstcolzpfytpd","unknown","negative"
"31",31,"nytimes someone put right can trump impeached longer president trumpslastday trump uselection","unknown","positive"
"32",32,"httpstcoiydyjglep nice cover capitolhill policechief gr trap set protrumpers fell ri … httpstcouzycjhvnnt","unknown","neutral"
"33",33,"rt chrisburke go eleven dunkin donuts unless slight indian accent joking joe biden usel…","unknown","negative"
