"","x"
"1","#Trump 

Looking at #USElection2020 results again

#Biden won by 7 milliom votes
He got 51% to Trump's 47%

Even if… https://t.co/SfRZhQDUHe"
"2","Obama's terrorist program Pop up again Support for terrorist militias In Iran, Yemen, Syria Iraq and Lebanon
#Biden… https://t.co/F7r0eeyG9r"
"3","RT @OCOGlobal: China, Climate and Coronavirus are 3 of the key tasks for the Biden Administration. Our Commercial Director @GarethHagan exp…"
"4","A new study from @cardiffuni's @CrimeSecurityCU explores Chinese links to the spread of disinformation during and a… https://t.co/SyJLA0njqw"
"5","RT @bsindia: Under the zero tolerance policy, effective from April 2018 to June 2018, all adults who illegally entered the US, including th…"
"6","Under the zero tolerance policy, effective from April 2018 to June 2018, all adults who illegally entered the US, i… https://t.co/cniuSKicZi"
"7","RT @AishPaliwal: #USElection2020 
Joe Biden races ahead of Donald Trump in Georgia"
"8","RT @BayMads: HISTORY OF US PRESIDENTS:

<U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F468><U+0001F3FE><U+0001F921><U+0001F474><U+0001F3FC>.
#USEle…"
"9","RT @long_John_: IF @JoeBiden was Zimbabwen <U+0001F923><U+0001F923><U+0001F605><U+0001F605><U+0001F605> #USElection2020 #USPresidentialElections2020 #USElectionResults #CorruptJoeBiden #JoeBiden…"
"10","RT @Coin_Shark: HERE WE GO <U+2192> $600 GIVEAWAY!

3 winners $200 each <U+0001F4B5><U+0001F440>

1) like and RT this tweet <U+2764><U+FE0F><U+0001F501>
2) sign up https://t.co/MalQA8yUW3

Also…"
"11","""This is how we know what love is: Jesus Christ laid down his life for us"" (NIV Bible, 1 John 3:16a).

#uselection… https://t.co/2PD00S19aD"
"12","This is scary stuff! ##twitterbots spreading #fakenews about #USElection2020 https://t.co/yEwSmdkBWK"
"13","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"14","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"15","RT @masroorabbasi3: Heloooo @IvankaTrump 
i have some secret videos of @JoeBiden 
U can DM if u need 
your friend 
Mayam Nawaz 
@NawazShari…"
"16","Heloooo @IvankaTrump 
i have some secret videos of @JoeBiden 
U can DM if u need 
your friend 
Mayam Nawaz… https://t.co/4fgxj7XZ4Y"
"17","RT @WBGSExcellence: The talent of our students shines again. Read this great article from sixth former Nathan about the 2020 Presidential E…"
"18","#USElection2020 #Biden It’s quite sad to watch a superpower Country becoming something out of the Jerry Springer show..."
"19","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"20","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"21","RT @NeelumNawab: Maine’s Susan Collins has been Reelected making it almost impossible for Democrats to win the Senate  #Democrats #USElecti…"
"22","RT @NeelumNawab: President Trump’s lead in Pennsylvania has become shaky from more than 10% points to less than 2 points.If Biden wins Penn…"
"23",".@Facebook to let researchers access #election ad #data.

#advertising #USElection2020 

https://t.co/VPYcp2XnIe"
